"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Jr. Executive, Canon Service","IT Telecommunication","Smart Technologies (BD) Ltd.","01","Manage large amounts of incoming phone calls.Generate sales leads.Identify and assess customers’ needs to achieve satisfaction.Build sustainable relationships and trust with customer accounts through open and interactive communication.Provide accurate, valid and complete information by using the right methods/tools.Meet personal/customer service team sales targets and call handling quotas.Handle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolution.Keep records of customer interactions, process customer accounts and file documents.Follow communication procedures, guidelines and policiesTake the extra mile to engage customers","Manage large amounts of incoming phone calls.","Full-time","Bachelor degree in any discipline","Age at least 23 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"RFP Specialist","IT Telecommunication","TigerIT Bangladesh Limited","Not specific","Prepare responses to RFPs, EOIs, and OTM tenders for various government, and non-government organizations.
Day to day communications and business analysis and presentations.
Research and report writing on different innovative ideas and business issues.
Working with software developers and system analysts to understand system architecture.
Documenting functional/business requirements, process flows, hardware/software/ other system components.
Writing business and technical proposals.
Maintaining liaisons with different local and international stakeholders.
Preparing presentations and conducting demonstrations on various levels.
Making customer visits as and when required.
Generating leads from specific market segments.","Prepare responses to RFPs, EOIs, and OTM tenders for various government, and non-government organizations.","Full-time","Bachelor of Science (BSc), Masters in Engineering (MEngg)","Age at least 25 years","Anywhere in Bangladesh","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Software Engineer ( C#/.NET)","IT Telecommunication","A reputed group of companies","2","A reputed group of companies is seeking full-time Full Stack Developers for its offshore development team, whose primary focus will be on application development, maintenance, and support. Although he will bring unique development expertise to the collaborative team apart this he will also join in with the design and development phases of the various processes. The role is responsible for our primary stack of .NET, although many other technologies deliver our products.","Experience with C#/.NET and Angular to design, develop, and deploy applications.","Full-time","B.Sc/ M.Sc in IT from any reputed institution.","Age at least 28 years","Dhaka","NegotiableAttractive Compensation Package""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Jr. Technician Trainee, Canon Service","IT Telecommunication","Smart Technologies (BD) Ltd.","02","Installation and provide customer service at client sites.Perform routine maintenance, including cleaning, calibration, and component replacement, consumables delivery to ensure optimal performance.Collaborate with colleagues and Team leader to share knowledge and best practices.","Installation and provide customer service at client sites.","Full-time","Diploma in Engineering in EEE","Age at least 21 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Software Engineer (PHP/ MySQL platform)","IT Telecommunication","NNS Solution Ltd.","2","You will communicate proactively with inform, inquire about project information and also work closely with Project Manager.
You will be responsible to carryout multiple projects.
Responsible for creating/ developing large scale web application.
Ability to meet deadlines and achieve specified results.
Solid working experience on PHP framework CodeIgnator / Laravel are mandatory.
Advanced knowledge in PHP, MySQL, Oracle, JavaScript, Ajax, JSON and jQuery are mandatory.","You will communicate proactively with inform, inquire about project information and also work closely with Project Manager.","Full-time","Preferably B.Sc. in Computer Science or similar discipline.","Age 23 to 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Service Engineer, Canon Service","IT Telecommunication","Smart Technologies (BD) Ltd.","02","Installation and provide customer service at client sites.Perform routine maintenance, including cleaning, calibration, and component replacement, to ensure optimal performance.Provide technical support to clients and users, offering guidance on machine operation,troubleshooting, and maintenance best practices.Educate clients and users on the proper use of photocopy machines to prevent common issues.Keep up-to-date with the latest technological advancements in photocopy equipment.Collaborate with colleagues and Team leader to share knowledge and best practices.","Installation and provide customer service at client sites.","Full-time","Diploma in Engineering in EEE","Age at least 22 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Service Engineer, Canon Service","IT Telecommunication","Smart Technologies (BD) Ltd.","02","Install and set up new Canon photocopy machines at client sites.Perform routine maintenance, including cleaning, calibration, and component replacement, to ensure optimal performance.Diagnose hardware and software issues and perform necessary repairs and replacements.Respond to service calls promptly and prioritize tasks based on urgency and impact on business operations.Keep accurate records of service calls, maintenance performed, and replacement parts used.Provide technical support to clients and users, offering guidance on machine operation, troubleshooting, and maintenance best practices.Educate clients and users on the proper use of photocopy machines to prevent common issues.Keep up-to-date with the latest technological advancements in photocopy equipment.Collaborate with colleagues and supervisors to share knowledge and best practices.","Install and set up new Canon photocopy machines at client sites.","Full-time","Diploma in Engineering in EEE","Age at least 24 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Trainee Software Engineer","IT Telecommunication","Orange Business Development Ltd. (Orangebd)","20","Program Name: EDGE Project by IIT, Organized by Orangebd Ltd.

Program Focus: Training on Laravel (Framework) & DevOps


Customized Training: Trainees can choose their desired subjects for specialized learning.

Practical Learning: Trainees will work within a job environment, gaining hands-on experience.

Internship Component: The program will be counted as an internship, providing real-world exposure.

Recruitment Opportunity: Successful completion of the program can lead to full-time employment.

Gain expertise in Laravel and DevOps.
Apply skills in a professional setting during the internship.
Secure potential full-time employment with Orangebd Ltd.","Program Name: EDGE Project by IIT, Organized by Orangebd Ltd.","Full-time, Internship","Bachelor of Science (BSc) in Computer Science  Engineering, Software Engineering, Computer Science and Information System","Age at least 18 years","Dhaka (DOHS Baridhara)","Internship Allowance""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"System Engineer - Core Network (IP & Data)","IT Telecommunication","Intercloud Limited","Not specific","Configuring different IP Routing Protocols (BGP/OSPF/IS-IS etc), Switching service, NNI-Options & Network/System Security protocols.Design and implement technical solution for IP/MPLS backbone.ISP/IIG/IX Core Network & System Operations, Maintenance & Up-gradationHave to work on different vendor platform i.e Cisco Router and Switch (IOS XE and IOS XR Platform), Cisco Firewall, FortiNet , MikroTik.Troubleshooting of Corporate/ISP customers' connectivity issues in edge devices, understanding their requirements and provide solution accordinglyMaintaining different Network Monitoring Tools i.e Cacti, Nagios, Smokeping, Observium etc. in linux based environmentResponsible for handling customer complaints for maintaining high quality of service.Products/Technical knowledge update through self-learning techniques, to meet upcoming service requirements.","Configuring different IP Routing Protocols (BGP/OSPF/IS-IS etc), Switching service, NNI-Options & Network/System Security protocols.","Full-time","Bachelor of Science (BSc) in EEE, ETE, CSE, Telecommunication etc.","Age 24 to 32 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Site Reliability Engineer (Monitoring)","IT Telecommunication","ADN DigiNet Limited","Not specific","This is a role where the incumbent is responsible for applying software engineering principles to operations and infrastructure processes to help organizations manage and monitor highly reliable and scalable software systems to meet the organization’s need and to ensure high quality software products to our organization. S/he is required to have strong analytical skills to understand application life cycles and integration process flow.","Design, code, test, debug, maintain, and document for Server-side and Client-side code","Full-time","Bachelor's degree in information systems, information technology, computer science, or similar","Age at most 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Research Associate (Good Computing Skill and English)","IT Telecommunication","Bitchip Digital","2","We are looking for a few motivated research associates to join our team who are good in English and have great computing skills (Especially internet browsing skills). We will teach you what you will have to do.","Collecting data and info of different businesses from the internet.","Full-time","Bachelor degree in any discipline","Age 22 to 27 years","Dhaka (Uttara)","Tk. 13000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Department- IT","IT Telecommunication","A Renowned Group of Companies","01","We are looking to onboard a Senior IT specialist who has experience in leading a technical team. He will be responsible for managing group IT-related operations, designing and implementing applications according to the demand to automate and simplify our work process.","Manage all technology operations and evaluate them in accordance with established company goals.","Full-time","B.Sc / M.Sc in Computer Science Engineering from a Government or reputed UGC-approved institute.","Age at least 35 years","Dhaka (GULSHAN 1)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Software Engineer","IT Telecommunication","ASA","02","ASA is one of the biggest MFIs in the world with around 26 thousand employees serving around 73 lakh clients across the country. Here all the applications are developed by our own in-house IT team. ASA is in the process of digital transformation of its 3073 branches` operations which involve per day more than 90 (ninety) lakh transactions in the system of more than 25000 users. ASA welcomes you to take the initial challenges in this process.","Requirement analysis, design and development of the enhancement and modification request forwarded by different stakeholders.","Full-time","B.Sc./ M.Sc. in CSE/ IT/ MIS/ Software Engineering/ ECE/ EEE or equivalent and relevant engineering degree.","Age at most 32 years","Dhaka","Tk. 70000 (Monthly)For highly qualified & experienced candidates, initial salary may be slightly negotiable. Probation period will be 1 (one) year long. After successful completion of the probationary period, the employee will be accommodated in the regular Pay Scale of ASA.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior PHP Programmer CodeIgniter (Urgent)","IT Telecommunication","Sunshine","2","We are looking for 3-6 Years Experience CodeIgniter  PHP Programmer with skills and experience in building modern web applications using CodeIgniter Framework","Must Be Knowledge of CodeIgniter (PHP)","Full-time","Bachelor degree in any discipline","Age 20 to 35 years","Dhaka, Dhaka (PanthaPath)","Tk. 25000 - 30000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Front-End Developers (React.JS)","IT Telecommunication","Technext Limited","1","We are looking for programmers with a keen eye for design for the position of front end developer. Front end developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages, among other duties.
Front end developers are required to work in teams alongside back end developers, graphic designers, and user experience designers to ensure all elements of web creation are consistent. This requires excellent communication and interpersonal skills.","We are looking for programmers with a keen eye for design for the position of front end developer. Front end developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages, among other duties.","Full-time","Diploma in Computer, Bachelor degree in any discipline","Age 22 to 35 years","Dhaka","Tk. 25000 - 35000 (Monthly)Based on experience"